OBJECTID,ROUTE_ID,BEGIN_POINT,END_POINT,ROUTE_DIR,ROUTE_PREFIX,ROUTE_NUMBER,ROUTE_SUFFIX,RAMP_NUMBER,RAMP_SUFFIX,ROAD_TYPE,TOWN_NUMBER,TOWN_NAME,PRI_SEC_STATUS,YEAR,GlobalID,Shape__Length
43056,15-N-222,0,0.27,L,CT,15,,222,,XR,135,STAMFORD,PRI,2022,dd708ab2-7385-4897-80c0-3d7e7d5b81cc,1438.910978
43057,15-N-67,0,0.1,L,CT,15,,67,,XR,50,FAIRFIELD,PRI,2022,af441051-b766-4fd1-8530-592b32dde19e,469.9149905
43058,15-N-75A,0,0.03,L,CT,15,,75,A,ER,144,TRUMBULL,PRI,2022,53bb27b6-4291-405a-8c3c-0c1c5616fb68,184.4742763
43059,6-E,39.4,40.39,L,US,6,,,,M,140,THOMASTON,SEC,2022,5395ea75-f8e5-4903-83ae-ceb804366a9a,5168.691567
43060,6-E,40.39,40.85,L,US,6,,,,M,140,THOMASTON,PRI,2022,9b6ee8e1-1c32-4ad1-b4c5-3db5b7b05ab0,2364.366519
43061,6-W-12A,0,0.05,L,US,6,,12,A,ER,163,WINDHAM,PRI,2022,bfd83b84-65a9-482e-b46f-95f938988a6b,262.0066005
43062,624-E,0.1,0.16,L,SR,624,,,,M,152,WATERFORD,SEC,2022,7065126a-673e-4f97-b4dc-0e422315f036,285.0082632
43063,626-E,0,0.25,L,SR,626,,,,M,101,NORTH STONINGTON,PRI,2022,ce7b8ea2-ffd9-410a-b32c-acb0d37a0db3,1259.581272
43064,63-N,17.11,17.16,L,CT,63,,,,M,151,WATERBURY,PRI,2022,b72b2111-a978-44ba-8aff-2fd2bd30fc3f,263.5328825
43065,636-N,0,0.64,L,SR,636,,,,M,94,NEW LONDON,PRI,2022,2c8d3c17-a705-4d7e-85e3-867e63fd4083,3413.747533
43066,66-W,6.91,7.11,R,CT,66,,,,M,82,MIDDLETOWN,PRI,2022,2dc36947-5935-458b-8d51-4068b46f0ec6,1098.848748
43067,67-E,0,0.5,L,CT,67,,,,M,95,NEW MILFORD,SEC,2022,b5076dc8-c078-483f-ae66-3b09f231e138,2657.417489
43068,691-W-6,0,0.13,L,I,691,,6,,XR,79,MERIDEN,PRI,2022,f69859c3-6b56-474f-be72-e3e80c9f001b,702.1131336
43069,693-S,0.15,1.06,R,SR,693,,,,M,152,WATERFORD,PRI,2022,8af83c0f-e904-4a11-8537-2029b24d0b25,4638.381585
43070,7-N,60.02,67.73,L,US,7,,,,M,125,SHARON,PRI,2022,d970184a-91d2-485c-82b1-7d6aef641511,40597.99429
43071,7-N-2,0,0.15,L,US,7,,2,,ER,102,NORWALK,PRI,2022,f2deefd2-78f1-4ec5-8f9c-0cfc735c5abb,829.3577778
43072,7-S-10,0,0.38,L,US,7,,10,,XR,102,NORWALK,PRI,2022,e60f601a-97ef-4927-a62d-ef649583e5bc,2074.960781
43073,7-S-61,0,0.33,L,US,7,,61,,XR,18,BROOKFIELD,PRI,2022,a43ee87f-5ed1-477b-8f6e-cca94c369c3d,1725.158736
43074,71-N,5.54,12.28,L,CT,71,,,,M,7,BERLIN,PRI,2022,b212ceda-4a87-4f58-9388-17eb61a55d61,35519.56797
43075,71A-N,2.46,2.92,L,CT,71,A,,,M,88,NEW BRITAIN,PRI,2022,6c8f2504-9385-4510-9b33-4f5fc68b6a22,2408.222638
43076,72-S,2.84,3.2,R,CT,72,,,,M,109,PLAINVILLE,PRI,2022,8e02644e-04d8-491c-9e69-a7f847805ddb,1933.704707
43077,72-S-34,0,0.17,L,CT,72,,34,,ER,88,NEW BRITAIN,PRI,2022,195056d9-1a9b-4c0d-a637-62e16e844e73,953.3912931
43078,74M-N,0,5.27,L,SF,74,M,,,M,147,VOLUNTOWN,PRI,2022,1cb57042-2835-427c-8d40-f502f2f267f2,27857.91689
43079,77L-W,1.04,1.1,R,SP,77,L,,,M,75,MADISON,PRI,2022,ba91d233-52d5-459f-a14f-4a6715cd19ce,393.4531429
43080,794-E,0,1.05,L,SR,794,,,,M,14,BRANFORD,PRI,2022,e3d77875-cbbd-44c6-9ff1-03dd656e9040,5619.765655
43081,8-N-102,0,0.18,L,CT,8,,102,,ER,65,HARWINTON,PRI,2022,32ffe5b3-39c7-4f5f-b8cd-5a43a640e391,943.3530494
43082,8-S-101,0,0.19,L,CT,8,,101,,ER,65,HARWINTON,PRI,2022,2392711b-736d-4449-88cb-39ba7a88f3fe,981.844862
43083,8-S-33,0,0.09,L,CT,8,,33,,XR,36,DERBY,PRI,2022,efb54918-eaa5-41a0-92f5-9640dac34b7a,529.4593741
43084,8-S-69,0,0.24,L,CT,8,,69,,XR,87,NAUGATUCK,PRI,2022,f3b381fb-de7a-4248-8d35-1a59f547973d,1270.105756
43085,800-N,2.57,2.63,L,SR,800,,,,M,143,TORRINGTON,SEC,2022,adb989b1-aeef-4b52-b775-f1fcb68f9acc,338.6565454
43086,82-E,11.34,14.7,L,CT,82,,,,M,40,EAST HADDAM,PRI,2022,77bdb2ab-c44f-4918-881e-330499252260,17756.86155
43087,835-N,0,1,L,SR,835,,,,M,117,RIDGEFIELD,PRI,2022,002b4e0d-2554-4a79-b3b4-52e0a21270e2,5330.555303
43088,84-E,90.45,92.05,L,I,84,,,,M,3,ASHFORD,PRI,2022,96ea6a47-d57a-4acd-a85d-f4cfd1b5e048,8487.182371
43089,84-E-212,0,0.11,L,I,84,,212,,ER,42,EAST HARTFORD,PRI,2022,ad94babe-aabe-4b04-adaf-425443f26c4d,565.7298382
43090,84-E-225C,0,0.18,L,I,84,,225,C,XR,151,WATERBURY,PRI,2022,57a1f5ca-f38a-4e1e-bb05-2910983b193a,945.1951472
43091,84-E-243A,0,0.25,L,I,84,,243,A,ER,34,DANBURY,PRI,2022,8d525373-3ea0-4cbf-928f-713503ba1c66,1130.251833
43092,84-E-290,0,0.21,L,I,84,,290,,XR,145,UNION,PRI,2022,3be84a02-a8bf-4de9-a12c-f638e7c43c59,1117.313159
43093,84-E-42A,0,0.01,L,I,84,,42,A,ER,130,SOUTHBURY,PRI,2022,f3edb9f8-66a1-4f5c-8447-9a5e1e4c1afb,107.173462
43094,2-E-804,0,0.17,L,CT,2,,804,,TR,103,NORWICH,PRI,2022,998e6a0e-0932-4c45-af23-b5eeb0344927,859.2319211
43095,2-W-29A,0,0.02,L,CT,2,,29,A,ER,78,MARLBOROUGH,PRI,2022,449489aa-56bc-4e57-9dad-598746875dd3,156.8199222
43096,2-W-64,0,0.2,L,CT,2,,64,,XR,13,BOZRAH,PRI,2022,01258943-d74c-4eed-8d4c-6ded186fc9fa,1083.233081
43097,20-W,25.7,25.82,R,CT,20,,,,M,39,EAST GRANBY,PRI,2022,f8111cfd-6300-4e6e-967b-7d878f062e37,594.1060401
43098,202M-N,0,0.26,L,SF,202,M,,,M,64,HARTLAND,PRI,2022,0ead0876-1b72-495e-bc01-48f5656627ce,1374.472988
43099,217L-S,0,0.07,L,SP,217,L,,,M,75,MADISON,PRI,2022,6da1dfd4-c85b-4f24-b089-0c63e218ba51,391.8243062
43100,219N-N,0,0.16,L,SI,219,N,,,M,77,MANSFIELD,PRI,2022,78bb9e14-7ff0-4b59-b8e2-decbf510cc9d,849.420384
43101,22-E,4.91,6.46,L,CT,22,,,,M,98,NORTH BRANFORD,PRI,2022,13d7ac92-4855-4455-b4f9-f08eee5a6174,8259.592994
43102,237L-N,0,0.07,L,SP,237,L,,,M,75,MADISON,PRI,2022,9d297530-ce70-4fab-8eb7-3c76b2a434cf,363.7205774
43103,243N-W,0,0.13,L,SI,243,N,,,M,107,OXFORD,PRI,2022,94f8943e-8a62-4cfc-9b86-55c508a79217,702.4520765
43104,244-E,2.06,5.72,L,CT,244,,,,M,111,POMFRET,PRI,2022,a4edf394-af1e-4153-a81a-3ab425ecbdad,19407.35389
43105,25-N,4.01,10.75,L,CT,25,,,,M,144,TRUMBULL,PRI,2022,149a5169-5b68-48db-a1b3-ef8e50fc3f1f,35542.71077
43106,25-N,15.2,20.16,L,CT,25,,,,M,96,NEWTOWN,PRI,2022,a7de1960-622d-49a8-a71e-216fbc16bb60,26219.98395
43107,25-S-2,0,0.23,L,CT,25,,2,,XR,144,TRUMBULL,PRI,2022,336b24b9-d168-4c91-9cde-c008eb39aee3,1228.124153
43108,287-E,0.83,0.98,L,CT,287,,,,M,93,NEWINGTON,PRI,2022,bcebdc1e-0f85-4125-8aed-bf075b154a88,825.5749339
43109,2A-W-2,0,0.24,L,CT,2A,,2,,ER,85,MONTVILLE,PRI,2022,90748e01-e549-421b-b303-86624becfd3e,1211.042511
43110,30-N,12.22,17.05,L,CT,30,,,,M,142,TOLLAND,PRI,2022,8f64c114-7241-4838-9caa-ced1a58d9cc7,25522.84985
43111,32-N,1.89,4.88,L,CT,32,,,,M,152,WATERFORD,PRI,2022,87658da4-e0d9-4af4-aebc-a6ee9119f7a1,15764.26807
43112,32-N,4.88,9.8,L,CT,32,,,,M,85,MONTVILLE,PRI,2022,480888f7-7ddf-41b3-9fc6-f135a1bdcbec,25940.69438
43113,32-N-4,0,0.13,L,CT,32,,4,,ER,94,NEW LONDON,PRI,2022,48cd5634-accd-44f6-9487-b0a22e5c0b93,661.0373486
43114,34-W,20.13,21.2,R,CT,34,,,,M,156,WEST HAVEN,PRI,2022,7f459562-3299-438b-b7b5-0211931f27b3,5627.31164
43115,349-S-2,0,0.26,L,CT,349,,2,,ER,58,GROTON,PRI,2022,a4c4f15e-95ca-48f0-a42a-64322a630674,1327.742605
