OBJECTID,ROUTE_ID,BEGIN_POINT,END_POINT,ROUTE_DIR,ROUTE_PREFIX,ROUTE_NUMBER,ROUTE_SUFFIX,RAMP_NUMBER,RAMP_SUFFIX,ROAD_TYPE,TOWN_NUMBER,TOWN_NAME,PRI_SEC_STATUS,YEAR,GlobalID,Shape__Length
43949,95-N-284,0,0.31,L,I,95,,284,,ER,101,NORTH STONINGTON,PRI,2022,e7f49680-67b1-4460-bba9-f09ff1a76f75,1623.720147
43950,95-N-32,0,0.16,L,I,95,,32,,ER,135,STAMFORD,PRI,2022,ec298071-9a25-4833-afde-16ac3b731252,842.8356126
43951,95-N-72,0,0.16,L,I,95,,72,,ER,50,FAIRFIELD,PRI,2022,fb758712-0e71-4463-83c1-ca4badcd79ff,783.5949301
43952,95-N-92,0,0.16,L,I,95,,92,,XR,15,BRIDGEPORT,PRI,2022,c2bc4d6a-1786-48ab-ba6f-79b2b413455c,859.1456904
43953,95-S,13.32,17.7,R,I,95,,,,M,102,NORWALK,PRI,2022,01af9bda-841e-44ee-bec0-04ff9a5afe89,23070.60742
43954,95-S-103A,0,0.02,L,I,95,,103,A,XR,138,STRATFORD,PRI,2022,7be695ca-22c8-4012-9474-437cd21db8af,128.1618924
43955,95-S-117,0,0.4,L,I,95,,117,,XR,83,MILFORD,PRI,2022,9aaced11-7cb3-4891-ac7b-7bb6bfa1821c,2113.793917
43956,95-S-179,0,0.16,L,I,95,,179,,ER,14,BRANFORD,PRI,2022,28e326cb-a641-466d-8690-62ee8f551445,832.347652
43957,508-E,0,1.82,L,SR,508,,,,M,51,FARMINGTON,PRI,2022,fa0b00ea-dd02-44c5-a83b-91be85da3f9a,9534.600927
43958,53-N,3.65,5.97,L,CT,53,,,,M,161,WILTON,PRI,2022,afd5ffad-b708-4972-945f-a142c6d19830,12225.54931
43959,55-E,2.03,2.64,L,CT,55,,,,M,95,NEW MILFORD,PRI,2022,bc4bdd69-738e-4f86-af62-27f0fd8f2a09,3240.001628
43960,59-N,3.81,11.56,L,CT,59,,,,M,45,EASTON,PRI,2022,fddc8e75-649c-427f-944c-cfae70763969,40829.49968
43961,598-W-4,0,0.08,L,SR,598,,4,,XR,63,HARTFORD,PRI,2022,e5bd2344-f3f5-41b8-add8-8c91ba974390,452.1238933
43962,6-E,56.34,57.91,L,US,6,,,,M,51,FARMINGTON,SEC,2022,987bfb98-a54b-4bae-ad0d-fcc2fdc7abc5,8154.148384
43963,6-W,90.1,92.45,R,US,6,,,,M,77,MANSFIELD,PRI,2022,3589fb17-8012-45bf-8fa6-8e6614838735,12485.22411
43964,624-E,0.16,0.6,L,SR,624,,,,M,94,NEW LONDON,PRI,2022,aaab5303-378b-4106-9355-44aa307f4820,2356.720888
43965,63-N,47.82,52.57,L,CT,63,,,,M,21,CANAAN,PRI,2022,96969a6f-717f-401e-b61f-58c9bf1552ce,25102.10372
43966,66-E,18.4,22.91,L,CT,66,,,,M,78,MARLBOROUGH,PRI,2022,b7e3b49f-3f12-4237-9d14-74f88db5f939,23875.62154
43967,66-W,1.22,2.13,R,CT,66,,,,M,81,MIDDLEFIELD,PRI,2022,f0c92afa-544f-4f53-a4b4-73d0deca2b55,4619.222704
43968,691-W-6A,0,0.02,L,I,691,,6,A,XR,79,MERIDEN,PRI,2022,f4624786-dd8e-4e1e-9bff-958248414ba7,147.1678182
43969,7-N-48A,0,0.02,L,US,7,,48,A,ER,34,DANBURY,PRI,2022,e6641268-f3c2-44ed-b969-3461ef147235,134.7530398
43970,709-N,0,0.27,L,SR,709,,,,M,87,NAUGATUCK,PRI,2022,0fc404e0-a2f7-4526-b685-395137abbde0,1524.646216
43971,712-E,0,0.18,L,SR,712,,,,M,126,SHELTON,PRI,2022,d0ba6d05-3886-40c0-a2b9-e833eb3d3db1,953.1740915
43972,715-E,0,0.51,L,SR,715,,,,M,100,NORTH HAVEN,PRI,2022,0c3cb060-06cf-4fca-8667-7ab749211b34,2803.309008
43973,72-S,0,2.84,R,CT,72,,,,M,88,NEW BRITAIN,PRI,2022,33fe3b5d-51a7-4948-ad57-c3677987bbac,15043.59616
43974,72-S-21,0,0.21,L,CT,72,,21,,ER,88,NEW BRITAIN,PRI,2022,fd61ddab-b47a-4b5c-9395-342206230444,1176.673154
43975,73-W,2.87,3.46,R,CT,73,,,,M,151,WATERBURY,PRI,2022,b0ed4e6e-06f2-4da6-8fdc-b440039c5569,2986.053206
43976,740-N,2.49,3.22,L,SR,740,,,,M,98,NORTH BRANFORD,PRI,2022,37744cac-dc8f-4a91-98dd-9769b32cf71d,3895.055674
43977,741-E,0,0.09,L,SR,741,,,,M,92,NEW HAVEN,PRI,2022,5e9245a8-3841-4da8-922f-0e09d796ca8e,554.571459
43978,77M-S,0,1.52,L,SF,77,M,,,M,147,VOLUNTOWN,PRI,2022,c56da6cc-a63b-4ea1-8a3a-89fd4b652d53,8024.716728
43979,79-N,11.98,14.34,L,CT,79,,,,M,37,DURHAM,PRI,2022,ad941224-4bd7-436a-bbfa-983e5c024ba0,12425.45124
43980,8-N-113,0,0.21,L,CT,8,,113,,XR,143,TORRINGTON,PRI,2022,2c127b67-c3e0-42ce-88fe-7563d8a4cc23,1107.074261
43981,8-S-103,0,0.21,L,CT,8,,103,,XR,65,HARWINTON,PRI,2022,d541d4de-be5b-4be4-84bb-3075cd2f88ce,1187.033765
43982,8-S-37,0,0.08,L,CT,8,,37,,ER,36,DERBY,PRI,2022,32222150-2516-416c-bffe-414b3f40922b,432.4264697
43983,8-S-83,0,0.21,L,CT,8,,83,,XR,151,WATERBURY,PRI,2022,6004f304-943c-42cf-9573-5b292a08f969,1093.205437
43984,80-E,15.41,20.67,L,CT,80,,,,M,69,KILLINGWORTH,PRI,2022,9237a5b3-7c14-434a-bc7e-e73ffe16ceeb,27789.4316
43985,81-N,6,10.05,L,CT,81,,,,M,69,KILLINGWORTH,PRI,2022,b29e6c22-55ee-49c8-815d-db727e7d7fbc,21412.61793
43986,82-W,26.24,26.43,R,CT,82,,,,M,103,NORWICH,PRI,2022,8fd1b08f-7090-4622-9579-308335ae387d,950.0360111
43987,82-W-802,0,0.36,L,CT,82,,802,,TR,26,CHESTER,PRI,2022,ee98f64b-266f-40ea-95c4-dda6050d0e95,1970.58642
43988,84-E-253A,0,0.16,L,I,84,,253,A,XR,146,VERNON,PRI,2022,93bb6f7a-d579-4002-b84c-66c266e448d6,778.9844522
43989,84-E-258,0,0.17,L,I,84,,258,,XR,146,VERNON,PRI,2022,2d74161f-1788-41a8-aa9a-ba8974caffdd,962.4883497
43990,84-W,0,8.62,R,I,84,,,,M,34,DANBURY,PRI,2022,41d501a0-5fdd-4b29-86fb-4990aad0fed5,45453.99342
43991,15-N-42,0,0.06,L,CT,15,,42,,ER,102,NORWALK,PRI,2022,06290ca2-5654-4ae6-b9cd-74b1a255fc67,416.3646925
43992,15-S-113,0,0.08,L,CT,15,,113,,ER,92,NEW HAVEN,PRI,2022,a5d7e77a-a984-4b17-a70a-575517d777b5,448.019435
43993,15-S-115,0,0.18,L,CT,15,,115,,ER,92,NEW HAVEN,PRI,2022,c11983ca-4d3f-4cda-92a3-d3749096933f,976.8788838
43994,15-S-12A,0,0.01,L,CT,15,,12,A,XR,56,GREENWICH,PRI,2022,ac04c1bb-0b34-4acb-80c1-b947d4ebe5fb,97.09800982
43995,15-S-151,0,0.07,L,CT,15,,151,,ER,93,NEWINGTON,PRI,2022,2b39d76e-6ff6-4a97-87f9-688db76b8eba,332.8659494
43996,15-S-176,0,0.09,L,CT,15,,176,,XR,7,BERLIN,PRI,2022,0c823ce9-dc93-465e-b4ba-372a47e25e43,452.028132
43997,15-S-196,0,0.07,L,CT,15,,196,,XR,158,WESTPORT,PRI,2022,248b900b-3c18-467b-9eda-597aa8ec1f0e,406.2367335
43998,15-S-202,0,0.2,L,CT,15,,202,,ER,144,TRUMBULL,PRI,2022,688c740f-9a30-4bba-a660-2e6e144ca954,1088.553729
43999,15-S-66,0,0.04,L,CT,15,,66,,XR,50,FAIRFIELD,PRI,2022,13336052-efdf-414d-a3cb-7c740e53d542,237.090619
44000,161-N,0,6.93,L,CT,161,,,,M,44,EAST LYME,PRI,2022,97a16b0c-3188-48e1-b461-f39c2927523a,36740.96894
44001,11-N-14,0,0.39,L,CT,11,,14,,ER,120,SALEM,PRI,2022,554b45c1-d27b-4f96-8d0c-83a4a5a888b9,2061.52443
44002,113-S,5.61,6.01,R,CT,113,,,,M,138,STRATFORD,PRI,2022,df308afb-6ae7-4f63-8caa-ce51f5017049,2138.051838
44003,138-E,4.06,5.78,L,CT,138,,,,M,72,LISBON,PRI,2022,b4a63c62-a5a6-4526-847c-7f75e6d752fc,9111.986209
44004,14-E,0,4.64,L,CT,14,,,,M,163,WINDHAM,PRI,2022,ff9078ec-2c88-404f-8894-1e1740e4a885,24561.09002
44005,145-N,6.99,8.46,L,CT,145,,,,M,122,DEEP RIVER,PRI,2022,ec393168-cd22-420d-b31e-f014a4615b20,7720.402667
44006,15-N,45.5,45.81,L,CT,15,,,,M,167,WOODBRIDGE,PRI,2022,47ef507f-e0fd-4cfb-bbeb-8ce441c28d7c,1636.952425
44007,395-N,18.26,21.39,L,I,395,,,,M,72,LISBON,PRI,2022,7db60c64-99e3-47bf-a345-0ef26651c72e,16484.22104
44008,395-N-64,0,0.26,L,I,395,,64,,XR,115,PUTNAM,PRI,2022,e9f4b720-3c23-40e0-9527-cebdff00c3ef,1282.948072
44009,395-S-41,0,0.16,L,I,395,,41,,ER,108,PLAINFIELD,PRI,2022,4eac3d93-56e7-4431-9f5a-2b2663f7b280,839.4971851
44010,44-E,50.93,53.8,L,US,44,,,,M,63,HARTFORD,PRI,2022,6689e617-739c-4f29-a376-02daa0f03ed1,15300.07616
44011,44-E-1,0,0.1,L,US,44,,1,,XR,42,EAST HARTFORD,PRI,2022,2f34b8d5-70da-4b14-ac45-fee332f5ffd0,573.6898119
44012,245L-S,0,0.2,L,SP,245,L,,,M,75,MADISON,PRI,2022,d42dbdc7-040b-4dda-b715-4cd6f216b5b3,1043.212577
44013,267L-E,0,0.09,L,SP,267,L,,,M,41,EAST HAMPTON,PRI,2022,32a997bb-6f1d-4d15-8a20-427ba35eae48,480.6637318
44014,291-E-6,0,0.28,L,I,291,,6,,ER,132,SOUTH WINDSOR,PRI,2022,695c6576-2003-4750-82d1-21432ca3cf75,1580.825613
44015,3-S-2,0,0.18,L,CT,3,,2,,ER,53,GLASTONBURY,PRI,2022,cbe6e10b-6347-447c-a759-1fa745ce9ff9,1016.538307
44016,32-N,48.84,48.85,L,CT,32,,,,M,134,STAFFORD,SEC,2022,a1c86352-a870-4291-bb03-66fb9f732e33,30.6177559
44017,338L-E,0,0.26,L,SP,338,L,,,M,120,SALEM,PRI,2022,e39721aa-f8d4-4d96-b57b-d8c9764213b2,1387.314167
44018,34-E,23.24,24.37,L,CT,34,,,,M,92,NEW HAVEN,PRI,2022,836826f9-a770-4d44-b773-2bdaa2674dea,7835.236286
44019,34-E-8,0,0.13,L,CT,34,,8,,ER,92,NEW HAVEN,PRI,2022,948c1191-942c-465e-bb93-495685cc5124,663.3825075
44020,165-E,1.29,7.87,L,CT,165,,,,M,113,PRESTON,PRI,2022,c3853a5f-c9ef-4fc8-919c-b566fb81edb5,34706.363
44021,17-S,21.52,22.14,R,CT,17,,,,M,82,MIDDLETOWN,PRI,2022,887b62d5-c65d-48d9-8ecd-b78e187a3023,2608.777943
44022,172-N,0,4.45,L,CT,172,,,,M,130,SOUTHBURY,PRI,2022,55803a13-826d-4334-b9d5-7f3f96c632e0,23544.90658
44023,175-E,3.84,6.19,L,CT,175,,,,M,159,WETHERSFIELD,PRI,2022,e920ffea-99a3-4d08-b769-855f1d37d678,12331.35523
44024,183L-E,0,0.02,L,SP,183,L,,,M,52,FRANKLIN,PRI,2022,53ca310f-a78b-466a-93c8-6f2ead1850fe,92.06170545
44025,15-N-147,0,0.28,L,CT,15,,147,,ER,79,MERIDEN,PRI,2022,2f48d5ed-db32-4081-9e78-66b630125e07,1495.198947
44026,15-N-171,0,0.24,L,CT,15,,171,,XR,42,EAST HARTFORD,PRI,2022,71b14606-20c9-44f0-b36a-aa13573c739e,1320.199753
44027,15-N-183,0,0.17,L,CT,15,,183,,ER,144,TRUMBULL,PRI,2022,465dcca5-6237-4d6d-a894-c3a7ed800553,958.7975986
44028,15-N-45,0,0.12,L,CT,15,,45,,XR,102,NORWALK,PRI,2022,688b9386-f854-4ac8-bac4-5af7fe44f05d,665.4361541
44029,15-N-97,0,0.04,L,CT,15,,97,,XR,83,MILFORD,PRI,2022,9c3d11c1-3f67-466d-b00c-c26addb66d44,225.0817633
44030,15-S-139,0,0.26,L,CT,15,,139,,ER,148,WALLINGFORD,PRI,2022,f0f885cc-e5b0-4e47-8fae-3f077e0473c9,1380.773036
44031,15-S-152,0.03,0.07,L,CT,15,,152,,XR,93,NEWINGTON,PRI,2022,66b998cf-39c2-447b-b290-644eb4a21d2c,225.1660888
44032,15-S-157,0,0.2,L,CT,15,,157,,ER,159,WETHERSFIELD,PRI,2022,3022cf51-11c1-41fc-bb7b-078a68cf74fa,1073.393404
44033,15-S-43,0,0.1,L,CT,15,,43,,ER,102,NORWALK,PRI,2022,1c325e43-0fbc-4a93-9745-7fd976a070df,557.5360315
44034,15-S-809,0,0.6,L,CT,15,,809,,TR,144,TRUMBULL,PRI,2022,6da70088-4f51-44c1-a83c-1ba7b21275d4,3190.971194
44035,17-N,23.14,23.64,L,CT,17,,,,M,82,MIDDLETOWN,SEC,2022,e5197081-87cc-4f24-9bac-8f684ffd2d29,2378.056641
44036,17-N,30.58,36.41,L,CT,17,,,,M,53,GLASTONBURY,PRI,2022,9e1c35cc-bebf-4b02-9da9-2e34922be79a,30833.19562
44037,189-N,13.21,20.32,L,CT,189,,,,M,55,GRANBY,PRI,2022,80403449-0cdb-4bbb-9afd-2a64d6ae289c,37591.07729
44038,480-N,0,0.77,L,SSR,480,,,,M,31,CORNWALL,PRI,2022,7de58592-04d5-4c23-b275-74a121659e20,4046.838902
44039,489-N,0,0.17,L,SSR,489,,,,M,20,BURLINGTON,PRI,2022,fded5e02-182f-4152-bc4e-f7a4741b453d,900.1565247
44040,5-N,0.98,3.51,L,US,5,,,,M,61,HAMDEN,PRI,2022,b955d0f9-08cb-4db7-85f1-1b7242317f56,13374.80055
44041,500-N,0,0.51,L,SR,500,,,,M,42,EAST HARTFORD,PRI,2022,d4a1d4ef-4c1a-4efc-9318-a286a4d417b2,2773.815932
44042,536-W,1.27,1.42,R,SR,536,,,,M,109,PLAINVILLE,PRI,2022,096c6e83-168c-46ce-99d5-b45ae3131bc5,752.5908785
44043,541-N,0,0.82,L,SR,541,,,,M,146,VERNON,PRI,2022,61c8146c-67cb-4b15-a3b1-832f8c30f748,4494.991561
44044,343-E,0,1.5,L,CT,343,,,,M,125,SHARON,PRI,2022,408027be-29c9-4789-bb7c-618081c2af6b,7925.106087
44045,345N-E,0,0.02,L,SI,345,N,,,M,162,WINCHESTER,PRI,2022,a931c9ad-9084-4167-a6c6-b70f830655ed,114.2536977
44046,349-S-3A,0,0.03,L,CT,349,,3,A,XR,58,GROTON,PRI,2022,73db754e-f4f3-426c-b26a-448adfbe9242,199.4277832
44047,356N-N,0,0.08,L,SI,356,N,,,M,163,WINDHAM,PRI,2022,ec776391-3d3e-414b-889b-bdedf90b3588,445.3539346
44048,366N-N,0,0.39,L,SI,366,N,,,M,130,SOUTHBURY,PRI,2022,6a61c8f8-f81d-458e-8868-fa40284f09c1,2084.1934
44049,395-N-20,0,0.29,L,I,395,,20,,XR,103,NORWICH,PRI,2022,9532bb59-4e54-456f-ae27-f87ed05824d5,1524.66168
44050,395-N-36,0,0.19,L,I,395,,36,,ER,57,GRISWOLD,PRI,2022,4a5c5f42-fcf9-4e56-bf66-3350dcedaea6,1061.197251
44051,395-N-44,0,0.24,L,I,395,,44,,XR,108,PLAINFIELD,PRI,2022,1585f366-8bcf-489a-bb43-1ea6a8fa3652,1267.51454
44052,42-E,8.45,10.26,L,CT,42,,,,M,8,BETHANY,PRI,2022,61213953-5e78-4f0f-8560-ccdd7d279553,9564.294231
44053,187-N,1.7,6.88,L,CT,187,,,,M,11,BLOOMFIELD,PRI,2022,a9b56966-0cd2-4f7f-b795-1daf1d037538,27324.15251
44054,187-S,5.81,6.88,R,CT,187,,,,M,11,BLOOMFIELD,PRI,2022,fd22fabc-4c84-4b2c-aee6-29e70e5471c6,5737.132922
44055,189L-W,0,0.18,L,SP,189,L,,,M,78,MARLBOROUGH,PRI,2022,fa0bd7b2-19e5-421f-822f-8bd27a1e9469,962.4074863
44056,194-E,0,3.67,L,CT,194,,,,M,132,SOUTH WINDSOR,PRI,2022,4f3177ff-018a-4420-8e4e-be631db1f0bc,19415.31111
44057,2-E,12.67,19.22,L,CT,2,,,,M,78,MARLBOROUGH,PRI,2022,f1800216-0f09-4a5b-831c-0f1a7371c5cd,34795.80892
44058,2-E-86,0,0.42,L,CT,2,,86,,ER,103,NORWICH,PRI,2022,98e46cab-5137-46ef-a777-5e80f9743ecd,2210.525755
44059,2-W-60,0,0.15,L,CT,2,,60,,ER,13,BOZRAH,PRI,2022,9881ad92-d62f-4d81-b40b-4ac64ec20dec,729.3847491
44060,2-W-76,0,0.13,L,CT,2,,76,,ER,42,EAST HARTFORD,PRI,2022,751f5a78-e120-4e2b-bc31-f98da48723c7,665.0367564
44061,20-E,0,0.9,L,CT,20,,,,M,162,WINCHESTER,PRI,2022,a76fbde8-9637-4cf5-95a8-bbe12b1d94d4,4757.875452
44062,190-E,8.23,13.27,L,CT,190,,,,M,129,SOMERS,PRI,2022,9c7eeea2-2fd5-4045-b17c-6e162ae96603,26661.58516
44063,195-N,12.09,15.9,L,CT,195,,,,M,142,TOLLAND,PRI,2022,4dac3f12-2631-424a-94eb-0a5e002ad9f2,20001.13346
44064,549-N,0,1.14,L,SR,549,,,,M,51,FARMINGTON,PRI,2022,a2255a61-a765-41df-b9b7-6c9e00f96d58,6126.865216
44065,6-E-18,0,0.12,L,US,6,,18,,ER,77,MANSFIELD,PRI,2022,711b59c6-8caa-4e9a-b261-4b664be98083,674.7626447
44066,6-W-13,0,0.34,L,US,6,,13,,XR,163,WINDHAM,PRI,2022,eb20a027-a8a3-44b3-be53-31b02d41afee,1903.774496
44067,603-E,0,1.07,L,SR,603,,,,M,66,HEBRON,PRI,2022,6d505f15-47b9-4d5e-9f90-4e2fcbd3939e,5642.010475
44068,63-N,46.53,47.82,L,CT,63,,,,M,31,CORNWALL,PRI,2022,6e29f355-d7ef-4637-9c56-473208013258,6873.903731
44069,632-E,0,0.8,L,SR,632,,,,M,77,MANSFIELD,PRI,2022,174e492f-9764-4cc2-a7a5-a5fb06aa0170,4270.967695
44070,66-E,34.3,38.38,L,CT,66,,,,M,163,WINDHAM,PRI,2022,8b6deb73-f564-48f1-bb41-438c4358f90a,21464.2679
44071,7-S-8A,0,0.03,L,US,7,,8,A,ER,102,NORWALK,PRI,2022,3ce0971b-66df-4ffe-ad0f-df08d5377b78,197.2568759
44072,429-E,0,0.67,L,SSR,429,,,,M,28,COLCHESTER,PRI,2022,5762a0e9-4abd-465d-8bbc-fe64deb10ee9,3582.88666
44073,44-E,33.34,36.87,L,US,44,,,,M,91,NEW HARTFORD,PRI,2022,a11457e9-f5c6-4a78-882f-c2c15e9af4df,18729.10148
44074,45-N,1.71,7.95,L,CT,45,,,,M,149,WARREN,PRI,2022,77209dcf-ec73-4820-97a3-1a4ee36f04b2,32971.46757
44075,47L-N,0,0.1,L,SP,47,L,,,M,141,THOMPSON,PRI,2022,8442a2b6-eb2c-4050-90ee-a6fe16ebdbba,541.7186853
44076,5-N-801,0,0.39,L,US,5,,801,,TR,42,EAST HARTFORD,PRI,2022,592ddbe6-50f8-407f-b1c3-e92e50dbd069,1961.594695
44077,5-S,43.22,43.26,R,US,5,,,,M,46,EAST WINDSOR,PRI,2022,b33421a5-b8c0-42b2-851e-45f82a405b1e,207.2376033
44078,509-N,0,0.51,L,SR,509,,,,M,131,SOUTHINGTON,PRI,2022,47ff881d-8462-41fb-b592-2665f829a3e8,2745.949479
44079,53-S,22.42,22.71,R,CT,53,,,,M,34,DANBURY,PRI,2022,ac1c09e0-0884-42cf-a51a-55d6f332070d,1613.117602
44080,201M-N,0,0.65,L,SF,201,M,,,M,5,BARKHAMSTED,PRI,2022,c7376ba6-f47b-430e-b517-2df4ffdabf50,3458.119105
44081,202-N,44.9,47.19,L,US,202,,,,M,143,TORRINGTON,PRI,2022,677d37f6-115f-4dc2-840c-f37eff0de073,12128.19049
44082,222-N,0,2.44,L,CT,222,,,,M,140,THOMASTON,PRI,2022,a3ae56f4-91be-4f0f-b207-4d55e88a9c88,13058.09861
44083,232N-S,0,0.12,L,SI,232,N,,,M,77,MANSFIELD,PRI,2022,e6734e9a-ccab-4207-85e6-bbaeb147e4fe,650.7391994
44084,23M-E,0,0.03,L,SF,23,M,,,M,31,CORNWALL,PRI,2022,51140e8e-6dc7-49ae-a7bd-8e1040aeb1e2,143.3393944
44085,25-N-5,0,0.22,L,CT,25,,5,,XR,144,TRUMBULL,PRI,2022,209d5216-522d-4097-bd79-81c550323ef7,1184.943757
44086,2A-E-1,0,0.35,L,CT,2A,,1,,XR,85,MONTVILLE,PRI,2022,e609a015-f29c-4b34-8e39-39a6b7c68a68,1846.779096
44087,3-S-2A,0,0.05,L,CT,3,,2,A,ER,53,GLASTONBURY,PRI,2022,8fbbc742-9fff-466e-8906-ef4d9069f50f,287.719865
44088,30-N,5.52,6.82,L,CT,30,,,,M,76,MANCHESTER,PRI,2022,3579a507-4da9-4c26-bf7d-f2278e057fb4,6960.807236
44089,198M-N,0,0.11,L,SF,198,M,,,M,134,STAFFORD,PRI,2022,67ce6f4a-0101-4e91-ba6a-716fee1f794f,575.834094
44090,199L-E,0,0.05,L,SP,199,L,,,M,153,WATERTOWN,PRI,2022,57dada36-764d-4539-8756-b2b5a88cbaa7,260.5543589
44091,2-E,31.11,35.2,L,CT,2,,,,M,13,BOZRAH,PRI,2022,6939117d-003b-482f-88fd-8ef2f0b3a72f,21613.06415
44092,2-E,54.29,54.31,L,CT,2,,,,M,101,NORTH STONINGTON,SEC,2022,8032f36e-42df-40f6-83f4-cc50e0154d8b,106.2622313
44093,2-E-41,0,0.3,L,CT,2,,41,,XR,28,COLCHESTER,PRI,2022,f5338583-942b-4814-9e0b-88e07d72b713,1566.156838
44094,2-E-52,0,0.22,L,CT,2,,52,,XR,28,COLCHESTER,PRI,2022,1176946b-1bc4-4cd0-bae1-057b5b22745b,1154.128444
44095,2-E-85,0,0.23,L,CT,2,,85,,XR,103,NORWICH,PRI,2022,f73200f1-a696-4668-8ac2-a636fc5f4dc4,1205.671331
44096,2-E-91A,0,0.03,L,CT,2,,91,A,XR,101,NORTH STONINGTON,PRI,2022,d866d8d3-3b02-423e-9b78-6a7e0d90db9c,207.2833004
44097,2-W,0,0.2,R,CT,2,,,,M,63,HARTFORD,PRI,2022,21061613-ac87-41ac-aa24-87de36a4bc0d,1087.441718
44098,721-N,0,1.17,L,SR,721,,,,M,124,SEYMOUR,PRI,2022,68235f8c-81f5-4cdf-ba85-77b42857bd7a,6120.468803
44099,722-S,0,0.37,R,SR,722,,,,M,15,BRIDGEPORT,PRI,2022,006dd2e9-bdd1-43d3-9514-72f70b33d287,1925.212977
44100,78M-E,0,4.56,L,SF,78,M,,,M,147,VOLUNTOWN,PRI,2022,6d10a190-1008-470a-9896-f84d54839c9a,24023.73225
44101,8-N,7.32,12.48,L,CT,8,,,,M,126,SHELTON,PRI,2022,80c67675-c773-4795-8823-d4210929ecc4,27365.9757
44102,8-S-135,0,0.22,L,CT,8,,135,,ER,6,BEACON FALLS,PRI,2022,b69ee5e0-6cf0-4f43-b13e-cae51b9aaa87,1162.582261
44103,8-S-5,0,0.31,L,CT,8,,5,,ER,15,BRIDGEPORT,PRI,2022,76e1f966-b099-4602-ac61-90d1f94363e5,1660.650408
44104,8-S-64,0,0.11,L,CT,8,,64,,ER,87,NAUGATUCK,PRI,2022,7a48c1db-d998-4166-bcaa-77e690bf6e4a,577.8016555
44105,8-S-9,0,0.23,L,CT,8,,9,,XR,144,TRUMBULL,PRI,2022,7792a9c5-4939-43c6-8219-2adedb25f633,1324.100288
44106,531-W,1.01,1.13,R,SR,531,,,,M,51,FARMINGTON,PRI,2022,9201a1f0-5644-4f2b-9214-fd529860d129,708.3240452
44107,533-N,1.17,4.03,L,SR,533,,,,M,146,VERNON,PRI,2022,470a1efc-3b4e-4081-8595-0a590e0a076a,15204.21877
44108,55M-E,0,0.31,L,SF,55,M,,,M,74,LYME,PRI,2022,67fbbc0f-f58f-4e40-a45b-768a3c161eed,1660.236917
44109,6-E,4.12,8.26,L,US,6,,,,M,34,DANBURY,SEC,2022,507d6859-89c2-4854-8081-04c3bd2b3a1c,21816.9314
44110,6-E,8.26,8.76,L,US,6,,,,M,34,DANBURY,PRI,2022,5e705df6-f648-4bfc-b686-21dec49ef26f,2619.531337
44111,6-E-15,0,0.2,L,US,6,,15,,XR,77,MANSFIELD,PRI,2022,8855b383-793a-472e-b1b0-187ec80bd8dd,1098.924752
44112,6-W,72.76,73.09,R,US,6,,,,M,76,MANCHESTER,PRI,2022,f9bd760b-ea50-4559-8aca-2ec8b7fbbfd6,1717.516953
44113,6-W,92.45,92.87,R,US,6,,,,M,163,WINDHAM,PRI,2022,510cb99c-3f7c-4f2a-ad1e-8547091c192f,2342.769866
44114,314-E,0,2.07,L,CT,314,,,,M,159,WETHERSFIELD,PRI,2022,e0f6e4e2-7dab-4dd1-98c0-66b60007591f,10963.59693
44115,32-S,1.89,4.43,R,CT,32,,,,M,152,WATERFORD,PRI,2022,f2b76baf-9bff-41c8-a3f1-3b02aa482458,13275.25511
44116,32M-S,1.62,2.78,L,SF,32,M,,,M,54,GOSHEN,PRI,2022,b682f967-4e90-4fed-8593-dfe550bf4ddb,6079.620621
44117,334-E,0,2.71,L,CT,334,,,,M,124,SEYMOUR,PRI,2022,63cb0565-c494-43d4-a772-9808cd4f45f0,14264.16602
44118,84-E-282,0,0.17,L,I,84,,282,,XR,3,ASHFORD,PRI,2022,f587f974-97d1-4a41-8b32-a34616857832,954.744327
44119,84-E-803,0,0.32,L,I,84,,803,,TR,34,DANBURY,PRI,2022,154edc05-0287-489c-9bc6-323a3f4420ef,1654.342863
44120,84-W-181,0.69,1.31,L,I,84,,181,,ER,88,NEW BRITAIN,PRI,2022,edab5505-96d6-45ae-bd5e-0ec166347005,3321.31572
44121,84-W-184,0,0.16,L,I,84,,184,,XR,88,NEW BRITAIN,PRI,2022,707ee77b-64cd-4dc4-bc93-42c84cad25b4,873.8448769
44122,84-W-239,0,0.18,L,I,84,,239,,ER,34,DANBURY,PRI,2022,0dcf0679-8b59-4d26-8dec-aca16d32ff6c,886.1623263
44123,84-W-38,0,0.24,L,I,84,,38,,ER,130,SOUTHBURY,PRI,2022,6c2aeb9f-1e57-4579-a936-2680a1b1015d,1291.731371
44124,84-W-95,0,0.26,L,I,84,,95,,XR,131,SOUTHINGTON,PRI,2022,9a1205ea-f533-4ad1-a35d-724c3b378b89,1353.112527
44125,849-S,0,0.21,L,SR,849,,,,M,151,WATERBURY,PRI,2022,281f4bdf-71a9-4326-8e37-21664ccf759d,1164.965761
44126,84L-N,0,0.09,L,SP,84,L,,,M,100,NORTH HAVEN,PRI,2022,c83f5b96-db34-425c-93f7-4b10009641de,485.6785118
44127,855-N,0,1.51,L,SR,855,,,,M,153,WATERTOWN,PRI,2022,52a0f4ec-9b56-432d-a11d-5fefe06328b1,7995.27984
